,degreeID,n,rank
743,"16.0101,17",21,1935
258,"13.0408,17",21,1936
19,"1.0299,5",21,1937
1886,"43.0299,7",21,1938
1718,"40.0802,7",21,1939
2053,"49.0199,5",21,1940
197,"11.1003,17",21,1941
156,"11.0104,17",21,1942
46,"1.0603,5",21,1943
1492,"30.3201,17",21,1944
2229,"50.0607,5",21,1945
2519,"51.1508,5",21,1946
490,"14.0102,5",21,1947
1279,"26.1401,7",21,1948
2445,"51.0908,7",21,1949
2145,"5.0207,17",21,1950
1322,"27.0399,7",21,1951
529,"14.0899,5",21,1952
894,"19.0203,7",21,1953
1319,"27.0306,5",21,1954
2891,"52.1004,7",20,1955
1698,"40.0602,5",20,1956
1117,"26.0407,7",20,1957
1310,"27.0303,17",20,1958
381,"13.1305,17",20,1959
2601,"51.2302,7",20,1960
1221,"26.1006,17",20,1961
375,"13.1302,17",20,1962
2265,"50.0901,18",20,1963
1185,"26.0903,17",20,1964
778,"16.0399,7",20,1965
1973,"45.0604,17",20,1966
2784,"52.0205,17",20,1967
736,"15.1599,5",20,1968
2562,"51.2201,18",20,1969
519,"14.0803,17",20,1970
2734,"51.3816,7",20,1971
1326,"27.0502,17",20,1972
2330,"50.9999,17",20,1973
790,"16.05,7",20,1974
1913,"44.0502,17",20,1975
838,"16.11,5",20,1976
1811,"42.2807,7",20,1977
2068,"5.0104,17",20,1978
2486,"51.1103,5",20,1979
1961,"45.0501,17",20,1980
551,"14.1099,17",20,1981
1936,"45.0101,17",20,1982
2309,"50.0914,7",20,1983
1620,"4.0401,17",20,1984
1810,"42.2807,18",20,1985
1021,"23.1399,7",19,1986
2247,"50.0706,7",19,1987
2371,"51.0506,7",19,1988
1704,"40.0605,17",19,1989
2378,"51.051,7",19,1990
2153,"5.021,5",19,1991
80,"1.0907,7",19,1992
2105,"5.0122,7",19,1993
1035,"24.0101,17",19,1994
2584,"51.221,17",19,1995
839,"16.11,7",19,1996
1092,"26.0305,5",19,1997
788,"16.05,17",19,1998
545,"14.1003,17",19,1999
2747,"51.382,5",19,2000
617,"14.3901,17",19,2001
452,"13.1331,5",19,2002
1602,"39.0703,7",19,2003
1951,"45.0204,7",19,2004
629,"14.4301,7",19,2005
2684,"51.3602,7",19,2006
1915,"44.0502,7",19,2007
1896,"43.0399,7",19,2008
218,"12.0509,5",19,2009
101,"1.1104,17",18,2010
2086,"5.0111,5",18,2011
1941,"45.0102,7",18,2012
2184,"50.0406,7",18,2013
2483,"51.1101,5",18,2014
2036,"47.0605,5",18,2015
842,"16.1101,7",18,2016
1487,"30.3001,5",18,2017
2297,"50.0911,17",18,2018
1198,"26.0909,17",18,2019
1683,"40.0508,17",18,2020
2581,"51.2209,17",18,2021
283,"13.0607,17",18,2022
655,"15.0405,5",18,2023
3035,"9.0904,7",18,2024
61,"1.0802,7",18,2025
2679,"51.3501,5",18,2026
135,"10.0301,7",18,2027
698,"15.0805,7",18,2028
2621,"51.2311,5",18,2029
2365,"51.0503,17",18,2030
1259,"26.1305,17",18,2031
2668,"51.3201,5",18,2032
1445,"30.1301,7",18,2033
720,"15.1302,7",18,2034
2380,"51.0511,7",17,2035
243,"13.0402,17",17,2036
289,"13.0701,17",17,2037
584,"14.2401,17",17,2038
1277,"26.1399,7",17,2039
208,"11.9999,17",17,2040
2840,"52.0703,7",17,2041
3016,"9.0701,17",17,2042
1543,"38.0104,7",17,2043
952,"19.0905,7",17,2044
1556,"38.0205,7",17,2045
2414,"51.0799,17",17,2046
2116,"5.0126,7",17,2047
1765,"42.2702,7",17,2048
1335,"27.9999,17",17,2049
1651,"40.0203,7",17,2050
509,"14.0702,17",17,2051
2311,"50.0915,5",17,2052
110,"1.1199,17",17,2053
1206,"26.0911,7",17,2054
1864,"43.0113,7",17,2055
1529,"31.9999,7",17,2056
1168,"26.0805,17",17,2057
1826,"42.2813,17",17,2058
142,"10.0307,5",17,2059
2253,"50.071,7",17,2060
2678,"51.3399,7",17,2061
2233,"50.0699,7",17,2062
1050,"25.0102,7",16,2063
222,"13.0101,18",16,2064
479,"13.1501,7",16,2065
293,"13.0901,5",16,2066
24,"1.0303,17",16,2067
1158,"26.0799,7",16,2068
738,"15.1601,17",16,2069
1734,"40.081,5",16,2070
304,"13.1005,17",16,2071
530,"14.0899,7",16,2072
514,"14.0799,7",16,2073
2251,"50.0709,7",16,2074
1991,"45.0799,7",16,2075
1397,"3.0508,5",16,2076
2260,"50.0713,7",16,2077
1955,"45.0301,17",16,2078
2547,"51.2007,7",16,2079
828,"16.0908,17",16,2080
1591,"39.0699,17",16,2081
1481,"30.2601,7",16,2082
2897,"52.1101,17",16,2083
2127,"5.0134,7",16,2084
442,"13.1327,5",15,2085
663,"15.0505,7",15,2086
2244,"50.0705,7",15,2087
1001,"22.9999,17",15,2088
3050,"9.9999,17",15,2089
228,"13.0202,17",15,2090
2140,"5.0203,17",15,2091
1857,"43.011,7",15,2092
931,"19.0706,17",15,2093
497,"14.0401,17",15,2094
2144,"5.0206,7",15,2095
2918,"52.1399,17",15,2096
944,"19.0901,17",15,2097
